Season,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY,Cultivar Encoded
1.0,1.0,58.8,15.2,98.2,177.8,1.81,5.2,152.2,3232.82,31.0
1.0,2.0,58.6,13.4,102.0,195.0,1.85,7.2,141.69,3517.36,31.0
1.0,3.0,63.4,17.2,100.4,203.0,2.02,6.8,148.81,3391.46,31.0
1.0,4.0,60.27,15.27,100.2,191.93,1.89,6.4,148.5,3312.58,31.0
1.0,1.0,81.2,18.0,98.8,173.0,1.75,7.4,145.59,3230.99,28.0
1.0,2.0,75.8,20.8,69.2,128.0,1.85,7.2,154.87,3374.8,28.0
1.0,3.0,84.4,15.8,95.4,161.8,1.7,6.8,150.23,3182.76,28.0
1.0,4.0,80.47,18.2,87.8,154.27,1.77,7.13,149.9,3165.72,28.0
1.0,1.0,52.2,14.4,64.8,148.8,2.3,7.2,180.25,3640.46,1.0
1.0,2.0,55.8,15.8,72.0,188.8,2.62,6.2,176.75,3602.34,1.0
1.0,3.0,54.0,19.4,78.2,182.4,2.33,7.8,173.16,3488.79,1.0
1.0,4.0,54.0,16.53,71.67,173.33,2.42,7.07,176.73,3698.28,1.0
1.0,1.0,54.0,15.4,82.2,219.2,2.67,8.2,188.27,4122.76,33.0
1.0,2.0,59.2,17.0,63.2,176.0,2.78,9.0,184.01,3956.41,33.0
1.0,3.0,68.4,17.8,80.0,272.4,2.24,7.0,181.78,3843.4,33.0
1.0,4.0,60.53,16.73,75.13,222.53,2.56,8.07,184.69,3953.31,33.0
1.0,1.0,55.2,19.8,49.0,80.6,1.64,3.6,161.01,3433.34,23.0
1.0,2.0,64.2,18.8,54.4,123.6,2.27,4.0,162.93,3398.45,23.0
1.0,3.0,57.2,18.2,50.2,82.2,1.64,4.4,161.34,3599.66,23.0
1.0,4.0,58.87,18.93,51.2,95.47,1.85,4.0,163.11,3357.01,23.0
1.0,1.0,60.6,15.8,61.4,136.2,2.22,6.0,164.13,3430.72,25.0
1.0,2.0,66.4,18.2,89.0,191.6,2.15,7.4,163.56,3510.76,25.0
